event_type,ingestion_timestamp,event_timestamp
vp,1598132203379.065,1598132203887.0
vp,1598132203391.607,1598132203889.0
vp,1598132203391.844,1598132203728.0
vp,1598132203396.452,1598132203890.0
vp,1598132203396.7742,1598132203464.0
vp,1598132203403.24,1598132203882.0
vp,1598132203403.6082,1598132203852.0
vp,1598132203412.3372,1598132203901.0
vp,1598132203422.636,1598132203920.0
vp,1598132203422.927,1598132203887.0
vp,1598132203434.662,1598132203922.0
vp,1598132203434.8271,1598132203890.0
vp,1598132203438.89,1598132203918.0
vp,1598132203438.992,1598132203921.0
vp,1598132203452.058,1598132203922.0
vp,1598132203452.2432,1598132203940.0
vp,1598132203457.545,1598132203901.0
vp,1598132203458.0532,1598132203951.0
vp,1598132203464.597,1598132203670.0
vp,1598132203464.812,1598132203964.0
vp,1598132203471.879,1598132203978.0
vp,1598132203472.239,1598132203935.0
vp,1598132203472.411,1598132203966.0
vp,1598132203472.707,1598132203926.0
vp,1598132203480.0242,1598132203701.0
ars,1598132203511.665,1598132203990.0
vp,1598132203531.095,1598132203986.0
vp,1598132203534.59,1598132204009.0
vp,1598132203534.861,1598132204014.0
vp,1598132203543.4949,1598132203776.0
vp,1598132203545.98,1598132203955.0
vp,1598132203546.264,1598132203856.0
vp,1598132203546.5132,1598132204006.0
vp,1598132203550.4128,1598132204031.0
vp,1598132203552.5762,1598132204041.0
vp,1598132203552.764,1598132204042.0
vp,1598132203560.934,1598132204012.0
vp,1598132203561.135,1598132204029.0
vp,1598132203567.126,1598132203897.0
vp,1598132203577.607,1598132204023.0
vp,1598132203578.1418,1598132203812.0
vp,1598132203597.76,1598132204099.0
vp,1598132203597.992,1598132203398.0
vp,1598132203616.8252,1598132204094.0
